x,y,landslide_id,label,Elevation,Slope,Aspect,Curvature,TRI,TWI,Rainfall,Dist_Streams,Dist_Roads,Dist_Faults,NDVI,BSI,Soil,Lithology,LULC,Geomorphon
260001.45988914184,3347453.4603303205,38684,1,983.8233,35.527016,285.5241,-0.0021474485,13.74401,8.510223,906.7271,1714.0594,48392.598,64294.76,0.27020612,0.06312954,3661,2,11,6
260030.6774808748,3348488.149553235,38854,1,848.5509,25.979986,18.434937,-0.019860724,9.409211,9.851562,901.1919,832.16583,48233.457,63622.938,0.30093852,0.02457404,3661,2,11,9
260104.49453260397,3348442.141627056,38855,1,872.7415,40.792065,123.69006,-0.001651233,15.07807,10.190315,902.83966,834.86523,48169.64,63708.496,0.4666909,-0.11561262,3661,2,11,6
260173.9630574087,3347617.105085532,38709,1,1072.0151,31.745995,280.008,9.1853166e-05,11.177208,9.891668,908.85474,1478.2761,48201.43,64306.84,0.23496728,0.08620592,3661,2,11,6
260261.4929525523,3347501.8035833626,38683,1,982.3199,36.25913,289.85522,-0.0032116005,14.239324,8.532911,911.17535,1528.0052,48128.227,64454.03,0.2952257,0.032628432,3661,2,11,6
260250.326231044,3346666.4995576167,38801,1,1034.086,29.767998,206.56505,0.0016887209,10.579014,10.199128,915.59106,2218.8286,48256.875,65005.383,0.41382548,-0.08117495,3661,2,11,6
260336.46002494884,3347588.625598368,38116,1,1051.9357,29.420216,264.47247,0.0009842755,10.993455,9.300584,911.96014,1414.0015,48046.816,64445.86,0.36700404,-0.046268567,3661,2,11,6
260349.0034446409,3348415.8506663786,38866,1,853.6431,18.330696,17.354034,-0.0019223907,6.097177,9.84624,907.6493,729.45184,47934.72,63908.258,0.34180436,-0.014336734,3661,2,11,6
260431.427704724,3347402.013155338,38881,1,918.9464,36.247253,230.7106,0.00032724315,13.422108,10.359516,914.81165,1514.3315,47973.4,64647.266,0.4161981,-0.08098263,3661,2,11,6
260449.8907823525,3347329.7050946774,38882,1,879.10114,41.843155,236.92932,0.0036688684,16.071566,9.678798,915.366,1567.0673,47973.145,64701.56,0.3930215,-0.061229654,3661,2,11,6
260507.09752124647,3348375.337257794,38867,1,848.80255,26.373463,72.89728,0.00022505708,9.48534,8.482933,910.95404,674.1662,47780.484,64054.79,0.4056103,-0.07063749,3661,2,11,6
260516.71054446488,3347434.322594198,38880,1,953.7402,37.96795,259.56253,0.0075704097,14.907988,10.092119,916.1048,1445.0605,47890.043,64686.684,0.23469049,0.09720452,3661,2,11,5
260578.42415182825,3347463.239422379,38868,1,960.8514,40.94433,303.69006,0.00325168,15.873624,10.049986,917.03973,1386.7949,47826.508,64711.297,0.2918522,0.039336246,3661,2,11,5
260705.41618390768,3347528.4894678206,39265,1,948.62286,30.224024,329.34933,0.0031527278,11.182837,7.9613495,919.05536,1254.3126,47688.207,64761.508,0.25909254,0.06757869,3661,2,11,5
261591.7728216321,3346243.2812847905,39393,1,1197.9446,19.620575,25.016907,-0.0061967457,7.3771033,9.851562,940.4469,1931.269,47001.67,66285.56,0.15041271,0.17897677,3661,2,11,6
261627.13840538976,3347752.811559299,38851,1,673.2756,35.622444,311.0548,-0.0020031463,11.9435835,9.851562,935.0424,595.39905,46746.996,65305.902,0.30436215,0.027564816,3661,2,2,7
261790.31361975364,3346275.24457908,38811,1,1087.5483,22.871315,48.366455,-0.012038903,8.05473,8.328719,943.7007,1807.6781,46799.46,66414.09,0.3491586,-0.011795226,3661,2,11,7
261903.3531195102,3345996.7110401504,39394,1,1168.1699,34.043545,43.994904,-0.0031685573,12.001721,9.216921,946.5107,1990.6029,46736.312,66676.5,0.21982978,0.1113547,3661,2,11,6
